SSA(m2/g),Pore size(nm),Pore Volume (cm3/g),Potential,Nitrogen %,Id/Ig,Specific Capacitance
3124.4,1.17,0,1,2.34,2.739,270
3336.7,1.17,0,1,0.63,3.412,247
343,0.62,1.6,1,0,1.38,7.86
301,0.62,1.5,1,0,1.25,19.9
342,0.62,1.59,1,0.54,1.22,22.2
341,0.62,1.34,1,1.02,1.03,29.7
343,0.62,1.6,1,0,1.38,2.59
301,0.62,1.5,1,0,1.25,34.6
342,0.62,1.59,1,0.54,1.22,10.6
341,0.62,1.34,1,1.02,1.03,29.6
0,0,0,1,0,0.93,180
0,0,0,1,0,0.92,225
659,0.58,0,1,3.01,0.93,325
0,0,0,1,0,0.95,175
552,3,0.38,0.9,0,2.64,140
1616,2.1,0.86,0.9,0,4.54,173
2490,2.5,1.7,0.9,0,0.55,283
803,0,5.5,1,0,0,150
406,4.3,0.2,1,0,0,275
460,7.3,0.36,1,0,0,324
477,1.96,0.23,1,0,1.01,80
1734,1.87,0.82,1,0,0,220
2753,2.23,1.54,1,0,1.12,307
2086,2.1,1.1,1,0,0,250
178,0,2.86,1,0,1.69,126
1288,2.6,0.82,1,0,1.69,241
2034,3.5,1.78,1,0,1.93,275
178,0,2.86,3,0,1.69,58
1288,2.6,0.82,3,0,1.69,100
2034,3.5,1.78,3,0,1.93,151.7
880,0.6,0.44,1.2,0.2,0,146
1513,0.64,0.8,1.2,0.2,0,159
1916,0.93,1.36,1.2,0.2,0,190
2926,0.79,1.45,1.2,0.2,0,280
836,0.67,0.5,1.2,0,0,80
2926,0.79,1.45,2,0.2,0,142
2926,0.79,1.45,2,0.2,0,156
2926,0.79,1.45,2,0.2,0,167
2926,0.79,1.45,2,0.2,0,125
2926,0.79,1.45,2,0.2,0,203
2325,0,1.1,1.2,0,0,203
2857,0,1.44,1.2,0,0,240
521,0,0.38,1,7.3,1,273
1217.1,0,0.46,1,6.3,1,556
1405.6,0,0.73,1,4.2,1,420
1840.3,0,1.17,1,0,1,180
521,0,0.38,1,7.3,1,227
1217.1,0,0.46,1,6.3,1,525
1405.6,0,0.73,1,4.2,1,409
1840.3,0,1.17,1,0,1,182
305.1,0,2.5,1,0,0,89
124.5,0,1.1,1,0,0.81,112
427.3,0,2.8,1,0,1.12,143
1218.5,0,5.3,1,0,1.73,291
686.8,5.3,0.91,1,0,0,111
1076.9,5.4,1.46,1,0,0,175
363,8.1,0.73,1,0,0,86
521,5.7,0.74,1,0,0,91
263,4.7,0.28,0.9,0,1.03,162.3
700,0.211,0.473,1,0,0,138
755,0.271,0.587,1,0,0,178
831,0.283,0.589,1,0,0,144
847,0.307,0.605,1,0,0,157
272,0,0.68,0.8,0,0,20
200,0,0.45,0.8,1.8,0,50
172,0,0.45,0.8,2.5,0,56
1305,1,0.586,1,2.42,0,199
1505,1,0.679,1,2.35,0,214
1586,1,0.795,1,2.09,0,232
1598,1,0.862,1,1.89,0,221
1424,1,0.784,1,1.68,0,176
325.48,5.32,0.24,1.8,0,0,29
489.39,6.23,0.37,1.8,0,0,78
1889.12,3.78,1.72,1.8,6.71,0,105.4
676.95,1.2,0.424,0.6,0,0,340
376.65,1,0.324,0.6,0,0,112
549.78,1,0.338,0.6,0,0,92
349.98,0.9,0.238,0.6,0,0,56
1754,3,2.81,0.9,0,0,303
1754,3,2.81,2.5,0,0,140
2080,1.89,1.23,0.9,2.8,0,270
0,0,0,1,0,0,187
745,1,0.83,1.2,0,0,181
1026,3.2,1.71,1.2,0,0,175
721,17,1.68,1.2,0,0,164
123.78,0.82,0,1,0,0,145
311.05,0,0,1,0,0,170
128.54,0,0,1,0,0,143
179.1,0,0.1,4,0.1,0,166
86.8,0,0.05,4,0.23,0,139.7
37.6,0,0.01,4,0.15,0,72.6
1800,0.63,1.2,1,0,0,133
455,0.46,0.33,1,0,0.98,127.6
686,0.49,0.5,1,0,0.934,200.72
783,0.5,0.56,1,0,0.926,226.2
799,0.51,0.54,1,0,0.877,135.4
640,0.48,0.47,1,0,0.952,182
566,0.48,0.4,1,0,0.926,99.2
515,0.49,0.36,1,0,0.926,144.8
406,0.51,0.29,1,0,0.926,198
672,1.56,0.38,1,0,0,300.4
1023,1.2,0.56,1,0,0,272.3
1380,1.25,0.78,1,0,0,243.4
2008,1.4,3.44,1,0,0,288.3
2008,1.4,3.44,3,0,0,132.3
705.9,0,0,1,19.8,0,411.8
212.4,0,0,1,15.8,0,272
312,0,0.26,0.9,1.2,0.78,125
1588,0,1.01,0.9,5.3,0.84,240.4
2665,0,1.46,0.9,1.1,0.81,279.1
2856,0,1.25,0.9,2.2,0.83,386.2
3253,0,1.72,0.9,0.9,0.86,365.9
7.91,0,0.0018,1,0.6,0.68,2.1
543.68,0,0.25,1,1.2,0.89,221.3
1092,0,0,1,0,0.67,91
519,0,0,1,0,1.24,35
126,0,0,1,1.2,2.37,3
8.6,0,0.032,1,0,0,270
7.24,0,0.021,1,0,0,353
12.86,0,0.043,1,0,0,280
15.79,0,0.057,1,0,0,170
6.24,0,0.017,1,0,0,276
3270,1.5,1.94,1,0,0,425
3270,1.5,1.94,2,0,0,210
2170,0.6,1.02,2,0,0,132
1230,2.13,0,0.6,0,0,181
1015.4,3.87,0,1,5.04,1.07,440
715,1.53,0.99,1,0,1.47,177
220,0,0.45,1,0,1.43,99
811.5,0,0,1,0,0.9,212.7
891.2,0,0,1,0,1.02,116.6
1642,1.17,0.72,1.3,0,0.74,234
2823,1.17,1.47,1.3,0,0.76,316
2094,1.17,1.19,1.3,0,1.11,224
1889.12,1.7,1.72,1,0,0,145
1889.12,1.7,1.72,1,0,0,103
376.3,2.181,0.205,1,0,0,240
1563,2.242,0.876,1,0,0,245
986.7,1.791,0.442,1,0,0,314
1221,2.176,0.664,1,0,0,290
4073,0,2.26,1,0.55,1.121,225
2340,2.7,0,1,0,0,280
300,0,0.35,1,6.88,0,114
1098.5,0,0.61,1,5.97,0,332
1134.2,0,0.66,1,4.83,0,310
871.7,0,0.55,1,3.42,0,234
1098.5,0,0.61,3,5.97,0,120
1489,1.14,0.646,1,0,2.37,191
1684,0,1.162,1,0,1.46,140
1383,1.98,0.99,1,0,0,125
1651,2.87,1.14,1,0,0,160
2859,2,1.39,1,0,0,272
1020,0,0.45,0.9,0,0,131.8
1240,0,0.79,0.9,0,0,177.3
1598,0,0.81,0.9,0,0,210.7
1705,0,0.82,0.9,0,0,237
0,0,0,1,0,1.18,252
1.9,0,0,1,9.89,1.01,153.3
1.4,0.55,0.015,1,8.76,0.88,189
1.4,0.55,0.015,1,8.76,0.88,270
0,10,0,0.9,0,1.21,95
1591,5.5,2.62,0.9,0,2.51,303
950,1.2,0,1,0,0.09,98
805,1.2,0,1,0,0.09,91
315,5.1,0.65,0.8,3.7,0,130
1087,1.2,0.6,0.8,7.5,0,310
1113,1.13,0.68,0.8,3.6,0,348
1343,1.15,0.73,0.8,2.1,0,250
2032,0.64,0.83,0.8,3.6,0,362
690,0.7,1.53,1,10.8,0,213
814,0.6,1.4,1,11.6,0,427
294,1.2,1.39,1,0,0,25
798,1,1.43,1,0,0,288
524,1.1,2.28,1,0,0,36
1566,1,0.82,1,0,0,127
690,0.7,1.53,2.5,10.8,0,110
814,0.6,1.4,2.5,11.6,0,94
294,1.2,1.39,2.5,0,0,22
798,1,1.43,2.5,0,0,126
524,1.1,2.28,2.5,0,0,32.1
1566,1,0.82,2.5,0,0,87
0,0,0,0.9,9.01,0.93,320
1591,1.9,0.7,0.9,5.27,0.93,419
3047,2.3,1.6,0.9,2.28,0.94,352
3068,2.8,2,0.9,1.67,0.98,312
0,0,0,0.9,0.81,1,239
0,0,0,0.8,9.01,0.93,326
1591,1.9,0.7,0.8,5.27,0.93,350
3047,2.3,1.6,0.8,2.28,0.94,330
3068,2.8,2,0.8,1.67,0.98,255
0,0,0,0.8,0.81,1,237
196.5,3.78,0,0.8,0,1.01,185
192.7,3.78,0,0.8,0.89,0.98,310.8
133.2,3.37,0,0.8,1.76,0.76,240
102.6,3.37,0,0.8,0,0.53,251.7
1128.7,1.9,0.58,0.9,0.89,0.85,198.2
1358.2,2.8,0.74,0.9,0.08,0.87,217.2
1829.7,2.5,1.05,0.9,0.37,0.84,238.2
102.6,3.9,0,1,5.5,1.1,160
